Archivo Origen;ID Interseccion;Direccion;Zona;Version;Fecha;PS;Ciclo;Grupo de Senales;TVI;TVF;TFD;RES;Pagina
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;5;8;50;42;37;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;94;6;54;48;43;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;22;9;42;33;26;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;294;58;119;61;54;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;31;11;39;28;21;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;12;120;35;61;0;59;52;19
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;1A;44;111;67;62;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;1B;44;111;67;59;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;2A;44;111;67;62;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;2B;44;111;67;59;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;5;119;36;37;32;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;94;117;40;43;38;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;22;0;28;28;21;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;294;44;110;66;59;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;31;2;25;23;16;20
3693_20251229_Planeamiento.pdf;3693;AK 14 X CL 13A S;3605;SEMA_3693_VersiónPMT.sop6;20/11/2025 17:40:33;13;120;35;47;111;64;57;20
